:START_ID,:END_ID
8,6
15,1
1,6
12,6
1,2
169,9
1,1
16,9
7,42
16,3
6,1
41,108
1,8
2,1
3,17
20,2
1,5
1,1
1,1
2,1
1,3
6,6
47,2
238,1
12,2
1143,1
1,319
24,430
56,2
2,4
3,3
2,1
3,1
2,1
3277,3
2,33
4,8
1,293
1,9
1,40
2,2
3,21
115,1
17,2
2,2
2,2
1,163
5,3
7,5
15,3
2645,4
1,5
1,33
1,29
57,17
290,501
1,4240
11,163
31,2
16,3
1,1
2,53
1,1
98,1
166,7
7,131
125,4
1,4
1,1
1673,785
2,215
3,3
7,15
2223,1
25,275
18,1
475,1
3,2
3,11
26,2
11,1
26,8
20,11
2,315
7,225
1,3
3,51
1,1
4,3
20,327
2,1
21,6
1,3
1,1
3,1
2,13
1,10
32,1
4,7
1,4
3773,3
3,1
3,9
1,1
5,1
1108,3
161,17
54,1493
16,3
45,2
4,491
1,1435
1,371
4,1
3757,2
12,9
4,1
2,1
146,19
5,1
1,1
6,3
5811,13
3,9
2,29
195,7
3,6
3,1
1,12
1,33
1,2
23,1
4,1
1,1
2,4
24,29
65,537
1,9
360,3
16,22
1,3
1,23
150,6
2,8
2,20
9,66
1,1
1,2
3,1
270,2
1,1
1,1
94,3
1,13
1,1
3,161
117,27
1,28
147,1
3,27
1,14
9,3
16,1
2,5
2,5
36,1
3,4
247,3695
1,1
1,23
629,26
2,1
9,19
68,2
1,14
178,157
1,5
23,36
1,5
13,2
249,35
12,29
1,19
80,1
1,4
3,10
2,13
2,1
3,3
7,5
2,111
2,1
1,6
29,531
25,103
1,30
1,2
3,60
18,2
5,4
4,2
48,536
1,1
2,4
560,1
3,175
7,1
8,9
5748,2
1,3
60,2
54,20
3,12
10,3
2,9
14,1
1,3433
49,3
8,8
2,2
5,878
1,3
13,2
4,534
596,5
151,3
150,1
3,1
10,1
1,2
2,42
9,33
355,1
2,1
438,1
1,1447
3,31
2,8
287,2
871,33
81,4
1,1
176,2
3,27
2,1
26,1
1,4
123,10
1,2740
2,14
6,4
12,4
4,4
7,8
65,8
7,60
4,236
12,194
7,9
11,12
4,31
9,8
12,3
78,2
31,45
2,10
1,3
2,5
6,8
6,5
10,14
32,486
1,3
7,350
132,1
1,1
2,8
1,2
1,2
9,1
139,7
3,1
6,20
3,1
2,3
1,1
1,3
1,4
2,64
63,1
82,178
40,12
5,600
4,40
1,3
5162,13
107,14
1446,1
1,1
1,1
1,3
1,4
1,1
4,1
3847,2
9,6
1,3
565,9
1,5796
3,1
1,146
6,2
1,10
263,44
2,3
4627,2817
7,3
4,3
11,1
1,15
17,3
3,1
9,1
2,1
16,286
2,5
1532,4
1,98
40,11
20,1
6,6
22,10
23,4
11,4017
5,1
12,910
14,2
4,279
1,2
6,47
180,7
11,4
1,8
1,5
4,12
556,50
1,2
1,663
183,3
1,2
1,20
2,12
6,2
2,3
4,1
3545,118
4401,3
1,3
1,57
2,5
2,5023
16,52
1,53
1,16
13,20
2,1
1,2
13,4
3,49
1,22
6,32
8,1
2,14
1,2
14,2
409,42
3,2
1,1
14,2
7,6713
1,3635
3,1
16,4
4,3
47,9
1,1
17,10
31,2
12,1
1,1
12,1
19,11
4,1
15,16
8,182
3,1
35,3
1,14
20,1
1,10
1,1
77,1
13,4
2,346
4,3
9,1
89,55
1,51
1,3
1185,3
4,2
1,1
3,181
14,12
11,7
8,2571
1,3
100,303
9,27
3,2
17,1
1,1
6,15
11,2
72,2
2,29
4,1
10,1
1,3
319,8
16,15
2,3118
2,1
8,4
4,13
13,58
3,3
18,1
2,508
1,1
1,631
1,14
1,263
1,2
5,18
385,1
3,1
1,297
6,19
7,1
20,103
3,2
76,50
2,10
11,10
84,15
15,14
4,4
1,1485
13,5
4,1
8,237
5,8
30,3
137,2
1,57
49,2
36,1
125,3
1,8
65,149
6,11
1,1
2,15
3,45
1,7
98,9
2,2
2,69
9,1
34,439
10,8
9,1
4,1
38,17
40,2
1,15
2,68
4,5
2,27
1196,3
111,1
6,59
38,1
45,1
24,1
4,7
3,12
375,1
1,1
2,33
3,1
2,63
3,6
1,3
405,1
11,23
1,1
46,4
4,1
65,1
405,1
6,4
4,25
9,3
38,4
54,7
37,1
1,40
1,362
4,9
2,2
1,7
4,6
1,1
1,3
1,3
1297,8
1,15
2,2
3,16
9,1
1,17
7,3
3,74
2,1
1,2
61,17
3,1
3,2
8,1
2,1
785,12
1,1
2,4
1,1
18,654
2,1
2,26
1,5
1,28
1,1
2,22
3,3368
82,1
3,1772
6,4
19,6
14,1
10,8
2,246
6,26
5974,6
5,1
52,1
1,2
3,1
1,7
3,5
1,3
11,1
5,2
17,12
9,1
6,46
42,3
5,6
105,4
5223,117
3,2
11,48
32,1312
6,2
2,6
9,1
2,50
1,83
1142,2
1,497
14,38
69,1
12,4
1,1
1,1
1,6
18,774
3,16
3,1
54,25
5,2
55,5
1,6
28,274
1,4
1,1
49,2
4,3
1,2
21,4
233,375
2,1
1,702
2,37
13,1
14,570
20,115
1,5217
1,1
3,12
15,8
2,10
137,13
2,52
26,12
2,1
35,46
1,1
1,1
6,82
1,11
3,1
1,32
1,2
16,1
263,4
208,12
19,1
6,19
6,1
851,1
9,13
3,15
79,8
1,3
12,267
1,1
4,354
1,1098
2,1
24,11
1,529
1,4
3,95
12,2
4,14
2,111
9,1
1,3
3,12
23,1
8,211
2,2
89,13
70,2
80,204
5,18
4,1
1,1
2,1
1,6
8,2
2,2
3503,975
1903,286
4,2
1,1
1,2
1,2
6,1
3,5
385,1
9,1
7,47
189,8
1,58
2700,2
15,9
133,160
2,1
5,2
1,2
1,3
80,1
1,7
1,1
12,43
2029,8
1,26
15,4
7,1360
4,10
257,42
5,1
2,174
84,311
1,393
3,2
6,28
10,12
4,37
22,23
2116,4
1,1
2,3923
5,32
3,5
6,2
12,1
2,1
7,3
2,1
10,6
2,2
46,2
3,12
18,1
2,3
5,2296
1,1
1,1
12,2
16,22
8,10
1,1
41,4
98,1
5,4
2,19
13,2
1,2
3,1
18,318
1,359
30,1
4,7
256,105
486,1
5817,2
4,20
135,7
4,6
1,1
1,1
8,1764
67,1
4,1
1,2
283,1
325,8
32,10
5,23
28,8
1,4
3,3
1,4211
37,1
1,1
10,3
1,4
1,4
5,5
1,4
1,56
1111,5
1,7
1,4
2,39
457,107
45,1
15,2
4,28
1585,18
2,568
7,982
1,114
1,10
6,34
3,1
9,21
4,55
6,2
1,1
89,107
2,331
1,5
67,4679
6,15
4988,1
141,1
1,154
315,2543
6,1
7,1
20,1322
6,2
38,45
122,18
1,4
2,3
4,1
6765,2
75,22
5,1
15,191
2,60
8,1
14,1
5,4
33,284
1,16
2,2531
1,1
2,2
1,2323
46,2096
44,21
1,2
8,1
38,1
1,209
6,3058
19,9
3,270
1,7
1,1
3,1
14,41
8,1
1,1
1,20
1,2
1,1
8,248
108,7
41,183
1,2
3,10
4,8
38,2
1,1
1,19
316,2
10,288
1,1
18,13
19,2
1,1
151,1395
8,1
2,55
2,9
26,2
3,3
14,1
1,26
10,1
10,1
16,9
1,4
33,5
1,1
1,2
24,5
1,1
150,40
1,6
3,1
1,7
2,1
35,2136
38,2
1679,5
5,3
8,11
404,233
2,430
3,4
1,5
32,16
102,30
277,2
224,9
6,1
2,2
4,171
1,69
1,1
1,7
1,1
650,2
5,93
1,31
1,528
43,2
10,8
13,9
23,7
1,1
3315,3
3,259
1,15
42,8
2270,339
44,1
10,4
1,13
1878,1
4,27
4,4
