id:ID,name,age:int,country
0,person_0,57,CA
1,person_1,63,BR
2,person_2,54,FR
3,person_3,64,GB
4,person_4,67,BR
5,person_5,42,BR
6,person_6,37,NG
7,person_7,62,DE
8,person_8,66,BR
9,person_9,24,NG
10,person_10,70,NG
11,person_11,75,US
12,person_12,50,BR
13,person_13,74,NG
14,person_14,43,SG
15,person_15,60,IN
16,person_16,71,BR
17,person_17,56,US
18,person_18,47,DE
19,person_19,28,BR
20,person_20,61,FR
21,person_21,47,FR
22,person_22,34,DE
23,person_23,53,US
24,person_24,58,CA
25,person_25,57,FR
26,person_26,67,IN
27,person_27,22,NG
28,person_28,59,FR
29,person_29,21,IN
30,person_30,58,DE
31,person_31,30,US
32,person_32,36,DE
33,person_33,46,FR
34,person_34,38,IN
35,person_35,68,FR
36,person_36,39,NG
37,person_37,54,DE
38,person_38,53,IN
39,person_39,67,CA
40,person_40,64,SG
41,person_41,72,DE
42,person_42,57,GB
43,person_43,51,CA
44,person_44,51,GB
45,person_45,67,IN
46,person_46,65,AU
47,person_47,63,FR
48,person_48,47,IN
49,person_49,69,CA
50,person_50,49,CA
51,person_51,66,BR
52,person_52,65,CA
53,person_53,69,FR
54,person_54,59,SG
55,person_55,34,US
56,person_56,63,GB
57,person_57,21,GB
58,person_58,38,US
59,person_59,30,AU
60,person_60,52,SG
61,person_61,74,IN
62,person_62,53,GB
63,person_63,45,BR
64,person_64,56,IN
65,person_65,45,SG
66,person_66,65,GB
67,person_67,21,AU
68,person_68,40,NG
69,person_69,22,DE
70,person_70,40,FR
71,person_71,34,DE
72,person_72,30,GB
73,person_73,48,NG
74,person_74,57,NG
75,person_75,53,SG
76,person_76,28,DE
77,person_77,63,BR
78,person_78,43,FR
79,person_79,30,FR
80,person_80,44,GB
81,person_81,63,AU
82,person_82,57,BR
83,person_83,20,IN
84,person_84,52,FR
85,person_85,30,NG
86,person_86,37,CA
87,person_87,38,NG
88,person_88,73,BR
89,person_89,32,SG
90,person_90,75,AU
91,person_91,55,NG
92,person_92,58,NG
93,person_93,27,FR
94,person_94,70,SG
95,person_95,66,DE
96,person_96,42,US
97,person_97,47,IN
98,person_98,39,US
99,person_99,71,SG
100,person_100,49,CA
101,person_101,70,FR
102,person_102,42,GB
103,person_103,20,CA
104,person_104,55,NG
105,person_105,30,AU
106,person_106,25,DE
107,person_107,37,IN
108,person_108,49,DE
109,person_109,40,CA
110,person_110,39,SG
111,person_111,55,US
112,person_112,61,GB
113,person_113,50,FR
114,person_114,60,IN
115,person_115,59,CA
116,person_116,49,SG
117,person_117,19,GB
118,person_118,27,AU
119,person_119,23,FR
120,person_120,49,AU
121,person_121,65,IN
122,person_122,29,DE
123,person_123,28,DE
124,person_124,66,DE
125,person_125,59,IN
126,person_126,63,AU
127,person_127,47,NG
128,person_128,61,SG
129,person_129,66,BR
130,person_130,19,NG
131,person_131,40,US
132,person_132,68,GB
133,person_133,23,IN
134,person_134,37,DE
135,person_135,28,DE
136,person_136,24,US
137,person_137,28,CA
138,person_138,59,NG
139,person_139,54,FR
140,person_140,33,IN
141,person_141,45,DE
142,person_142,61,NG
143,person_143,39,CA
144,person_144,47,AU
145,person_145,65,DE
146,person_146,22,US
147,person_147,22,GB
148,person_148,41,SG
149,person_149,55,NG
150,person_150,19,IN
151,person_151,69,DE
152,person_152,21,CA
153,person_153,53,US
154,person_154,72,NG
155,person_155,35,CA
156,person_156,53,SG
157,person_157,27,IN
158,person_158,72,NG
159,person_159,37,AU
160,person_160,41,IN
161,person_161,67,BR
162,person_162,18,FR
163,person_163,21,US
164,person_164,66,IN
165,person_165,70,BR
166,person_166,69,NG
167,person_167,57,NG
168,person_168,43,AU
169,person_169,29,IN
170,person_170,49,GB
171,person_171,30,US
172,person_172,45,DE
173,person_173,23,CA
174,person_174,58,CA
175,person_175,68,GB
176,person_176,44,DE
177,person_177,74,FR
178,person_178,71,US
179,person_179,32,CA
180,person_180,29,NG
181,person_181,19,NG
182,person_182,51,CA
183,person_183,66,SG
184,person_184,24,BR
185,person_185,36,IN
186,person_186,63,AU
187,person_187,41,BR
188,person_188,19,BR
189,person_189,55,FR
190,person_190,39,DE
191,person_191,24,CA
192,person_192,19,IN
193,person_193,43,CA
194,person_194,43,IN
195,person_195,69,NG
196,person_196,18,IN
197,person_197,61,FR
198,person_198,45,AU
199,person_199,23,BR
200,person_200,56,CA
201,person_201,57,AU
202,person_202,53,CA
203,person_203,31,US
204,person_204,47,FR
205,person_205,61,BR
206,person_206,65,BR
207,person_207,20,GB
208,person_208,27,US
209,person_209,32,FR
210,person_210,44,GB
211,person_211,26,DE
212,person_212,60,SG
213,person_213,42,AU
214,person_214,39,US
215,person_215,41,FR
216,person_216,31,GB
217,person_217,70,FR
218,person_218,74,AU
219,person_219,35,CA
220,person_220,69,US
221,person_221,61,SG
222,person_222,48,SG
223,person_223,27,US
224,person_224,66,DE
225,person_225,74,GB
226,person_226,63,GB
227,person_227,27,IN
228,person_228,60,IN
229,person_229,21,DE
230,person_230,68,BR
231,person_231,25,SG
232,person_232,30,US
233,person_233,64,CA
234,person_234,45,FR
235,person_235,51,FR
236,person_236,42,NG
237,person_237,23,DE
238,person_238,69,GB
239,person_239,63,BR
240,person_240,63,DE
241,person_241,62,CA
242,person_242,60,IN
243,person_243,64,DE
244,person_244,24,SG
245,person_245,53,BR
246,person_246,36,BR
247,person_247,74,SG
248,person_248,20,SG
249,person_249,44,BR
250,person_250,39,US
251,person_251,59,CA
252,person_252,66,FR
253,person_253,35,CA
254,person_254,35,IN
255,person_255,74,BR
256,person_256,74,IN
257,person_257,26,NG
258,person_258,49,AU
259,person_259,59,FR
260,person_260,39,GB
