id:ID,name,category,price:float
0,product_0,electronics,365.38
1,product_1,toys,418.97
2,product_2,beauty,345.14
3,product_3,grocery,200.56
4,product_4,toys,136.22
5,product_5,electronics,496.3
6,product_6,books,83.4
7,product_7,home,250.16
8,product_8,beauty,109.02
9,product_9,sports,47.21
10,product_10,toys,231.12
11,product_11,electronics,243.85
12,product_12,grocery,117.62
13,product_13,electronics,297.8
14,product_14,electronics,295.76
15,product_15,apparel,399.42
16,product_16,grocery,381.86
17,product_17,toys,31.92
18,product_18,apparel,201.62
19,product_19,electronics,258.21
20,product_20,books,198.44
21,product_21,toys,266.39
22,product_22,apparel,142.09
23,product_23,electronics,212.69
24,product_24,beauty,32.79
25,product_25,sports,129.54
26,product_26,grocery,129.18
27,product_27,electronics,234.74
28,product_28,electronics,254.75
29,product_29,grocery,346.87
30,product_30,books,315.06
31,product_31,sports,319.56
32,product_32,books,253.21
33,product_33,electronics,225.9
34,product_34,sports,333.35
35,product_35,beauty,12.07
36,product_36,toys,174.88
37,product_37,electronics,295.14
38,product_38,beauty,57.21
39,product_39,electronics,106.96
40,product_40,grocery,162.32
41,product_41,electronics,499.63
42,product_42,sports,110.1
43,product_43,books,466.03
44,product_44,books,143.38
45,product_45,apparel,403.84
46,product_46,beauty,339.01
47,product_47,home,253.91
48,product_48,sports,431.01
49,product_49,books,449.39
50,product_50,grocery,223.44
51,product_51,sports,452.27
52,product_52,books,308.4
53,product_53,apparel,341.96
54,product_54,books,304.57
55,product_55,electronics,24.99
56,product_56,sports,44.86
57,product_57,beauty,137.41
58,product_58,grocery,461.7
59,product_59,sports,61.21
60,product_60,home,454.34
61,product_61,sports,82.28
62,product_62,beauty,377.13
63,product_63,electronics,371.82
64,product_64,electronics,283.52
65,product_65,books,96.95
66,product_66,electronics,104.13
67,product_67,beauty,157.86
68,product_68,home,63.78
69,product_69,toys,82.5
70,product_70,electronics,219.41
71,product_71,apparel,396.47
72,product_72,apparel,176.58
73,product_73,beauty,217.67
74,product_74,grocery,101.48
75,product_75,electronics,400.78
76,product_76,sports,484.03
77,product_77,toys,44.29
78,product_78,sports,274.88
79,product_79,beauty,116.23
80,product_80,beauty,357.82
81,product_81,home,409.85
82,product_82,toys,327.41
83,product_83,sports,40.89
84,product_84,home,37.99
85,product_85,books,383.37
86,product_86,books,36.26
87,product_87,beauty,57.89
88,product_88,grocery,301.89
89,product_89,grocery,472.13
90,product_90,home,143.2
91,product_91,beauty,116.26
92,product_92,home,360.25
93,product_93,electronics,40.88
94,product_94,home,107.89
95,product_95,toys,48.26
96,product_96,beauty,7.66
97,product_97,beauty,435.07
98,product_98,electronics,5.19
99,product_99,beauty,39.25
100,product_100,grocery,178.16
101,product_101,apparel,205.34
102,product_102,home,140.38
103,product_103,home,252.7
104,product_104,electronics,348.44
105,product_105,apparel,103.23
106,product_106,apparel,474.7
107,product_107,grocery,132.53
108,product_108,grocery,10.57
109,product_109,home,298.64
110,product_110,grocery,85.84
111,product_111,toys,333.66
112,product_112,apparel,268.31
113,product_113,toys,224.5
114,product_114,apparel,191.76
115,product_115,beauty,38.33
116,product_116,home,431.66
117,product_117,electronics,387.35
118,product_118,home,226.27
119,product_119,electronics,382.72
120,product_120,apparel,317.11
121,product_121,toys,346.29
122,product_122,electronics,302.2
123,product_123,books,50.21
124,product_124,books,233.32
125,product_125,electronics,356.95
126,product_126,sports,288.37
127,product_127,beauty,193.29
128,product_128,electronics,156.23
129,product_129,grocery,206.69
130,product_130,electronics,214.18
131,product_131,books,323.09
132,product_132,home,491.06
133,product_133,electronics,470.48
134,product_134,toys,208.52
135,product_135,toys,19.96
136,product_136,beauty,113.26
137,product_137,toys,14.05
138,product_138,home,226.11
139,product_139,apparel,78.42
140,product_140,grocery,397.43
141,product_141,beauty,232.78
142,product_142,books,360.57
143,product_143,home,478.46
144,product_144,home,13.39
145,product_145,toys,303.59
