:START_ID,:END_ID
1,9
36,2
61,17
1,5
1,16
4,9
2,1
2,1
4,407
2,29
7,6
193,20
40,2
1,55
1,138
1033,1
123,1
153,2
33,2
46,2
1,17
55,19
6,1
77,28
47,52
224,3
1,1
4,1572
1,32
3,165
3,54
50,9
1,1
1,52
2,43
2,3
1,2
2,24
42,3
1,3
1,1
6,90
3,20
2,2
1,1
1,1
11,2
3,8
821,1
27,4
36,7
3,696
4,45
37,44
4,4
1,1
1,1840
1,3
2,9
5,52
93,635
72,50
128,1
5,1
4,4
2,27
35,5
3,5
2,1
137,11
7,256
9,3
1,1
3,4
3,19
26,244
4,1
4,2
1,2
1,48
1,11
2,1
47,2
1,5
7,503
1,3
4,1373
1,592
49,2
8,103
2,8
1,1
9,4
271,2
9,75
1,1
5,1
3,1
4,1
914,3
1,24
96,11
1,106
1,1
90,1
4,16
8,1
1,2
1,8
7,1
3,2
730,2
1,181
616,134
9,1
2,1
34,44
1,25
1,1
2,4
4,77
3,28
7,7
17,13
8,1
5,27
2,9
53,3
1,122
186,1
1,17
8,2
8,5
1,1
432,1
1,111
1,10
1,3
263,3
1,6
12,37
132,1
8,214
3,3
5,1
29,112
1,1
2,1
1,7
2,12
64,1
15,17
84,5
1,2
2,6
17,9
2,9
1,7
12,1
2,25
7,7
1,1
1,2
12,62
16,4
6,14
22,14
10,9
4,16
1,41
165,1
1,6
1,57
1,1
1,4
1,123
17,1
13,8
4,2
151,39
1,1
372,7
15,11
1,1
8,45
40,55
59,1190
9,6
1,1
23,64
3,13
1,117
7,1
46,1
1,642
2,14
2,13
7,3
10,2
20,1
2,1
4,792
7,1
53,3
5,9
1,1
31,611
6,25
2,1
4,335
1,9
73,1
2,1
19,13
115,31
15,3
31,11
30,3
2,167
2,1
1,4
18,55
2,27
2,30
1,3
603,1
6,9
60,3
108,337
1,239
14,10
1,2
24,1
1357,1
24,16
24,1
1919,1610
6,15
5,1
36,1
11,1
4,4
1,4
317,3
2,2
3,11
28,1
21,19
1,71
2,4
6,7
6,1
2,18
35,23
5,3
3,17
1,4
5,20
18,1
1,1
2,2
1,378
1,2
13,420
2,2
8,4
4,35
9,1508
1,3
1,5
629,2
1,38
1,4
1,1
4,3
22,5
2,1
9,220
1,1
1,1
1,8
8,12
101,1
1,8
5,1
3,2
23,1
1,436
55,5
1,2
12,8
35,1
109,2
79,19
1,1
2,4
229,120
711,1
1,2
22,3
2,13
213,1
2,9
1,4
3,20
14,16
1,4
12,2
1,13
2,8
28,1
2,21
176,2
54,63
2,5
447,1
65,109
39,1
1,3
31,1
12,8
1,2
1,534
5,84
1,6
334,6
972,12
2,18
1,4
5,1773
134,7
151,2
52,4
3,1
1,76
1,17
2,31
1,32
8,3
9,5
35,2
37,10
44,1
2,1
7,12
1,4
2,3
2,15
4,15
349,2
78,1750
2,10
10,3
468,27
8,2
29,1
6,7
16,236
2,192
1315,324
104,13
23,1
4,11
3,2
122,6
582,2
1,1712
17,2
3,42
18,1
10,14
1,3
4,2
1,32
2,2
2,1
5,5
4,2
21,1
2,132
1,2
1,1
9,1
1,181
17,1
2,187
2,1
3,2
1,76
3,11
870,29
2,1
7,89
1,2
2,5
2,10
36,1
1,6
510,1
12,14
1,61
5,152
1,12
14,911
1,2
4,2
4,3
2,1
9,1
26,30
1,1
6,20
1800,2
34,182
44,6
23,5
3,562
25,43
1,24
5,42
3,1
104,770
5,9
2,573
88,932
1,3
401,2
3,2
1,1
6,15
1,3
103,2
71,3
1,23
15,1
2,22
99,5
42,1
1,125
12,5
1,1
10,2
2,4
11,1
1,3
11,1
25,11
2,1
9,1
199,1
7,1
1,21
147,1
2,2
23,2
5,1
1,8
91,7
1,1
262,7
2,2
354,2
11,11
2,5
7,4
1,1563
6,132
1,2
3,12
4,1
6,2
1,1
2,47
1,221
3,1
132,1
18,1
1,68
6,4
24,2
105,1
1,2
4,393
10,11
246,33
149,7
1,1
17,1
1,34
41,4
1,4
9,5
2,7
7,49
163,1
63,59
151,2
124,27
103,1
6,2
2,16
11,23
5,86
5,126
25,1
3,28
1,3
2,2
4,1
7,36
2,9
7,3
85,265
68,10
49,1
5,1
18,20
1,3
2,4
13,4
1,75
1,4
1,68
1,22
6,4
19,241
5,1
3,2
19,333
19,1
1,3
570,2
1,5
67,1
1117,5
14,101
3,11
1,2
5,3
5,61
6,3
10,53
1,12
3,2
23,2
1,1
18,1
19,4
9,1
354,1
7,1
16,40
200,5
69,2
7,1
5,1
10,1
1,1
2,1
3,870
234,1
93,2
40,6
1,1
655,1
2,26
10,6
8,8
56,928
118,1
43,4
15,3
1,4
1,53
1090,1
1,31
1,4
1,1
25,4
1,2
77,1
832,1
4,1
1,4
1,5
3,42
4,2
2,2
5,32
1,4
1,4
7,10
2,1
16,11
736,1
2,6
275,1
12,181
4,4
727,3
31,317
4,3
5,54
10,17
15,15
5,53
64,2
12,86
34,2
5,5
3,76
1,3
15,80
1,18
184,1
2,1
6,869
1,1
13,3
1,33
5,1
797,1
58,7
28,3
2,266
2,3
39,59
513,21
155,25
1,5
2,2
821,3
122,21
1,125
19,1
1,473
3,1197
2,3
6,52
1539,1
2,8
6,2
2,2
5,10
8,1
3,6
2,1
3,438
2,1
90,1
21,2
1,12
187,2
1,3
2,8
11,144
1,8
12,1
3,45
9,1
3,5
2,4
23,7
24,2
2,1
2,1
3,13
1,2
1,2
4,9
34,2
1,12
1,26
19,12
3,9
1,1
5,2
59,3
4,1
1,6
1,1
5,8
61,391
1,172
80,3
7,4
5,2
2,4
1,12
2,44
27,1
1,2
1,6
1,3
6,13
1,324
1,60
1,1
2,6
2,1
146,4
11,33
14,5
3,4
14,4
1305,1
69,12
137,19
3,5
1,1
5,1
4,7
2,30
2,935
30,80
1,4
1,15
1,13
1,3
15,1
292,60
118,4
3,5
1,906
10,44
22,3
6,14
9,9
2,5
3,3
1,1
1,6
117,5
1,7
123,3
3,9
2,94
2,334
1,3
35,1
131,1
56,6
109,2
1,1
1,244
9,4
352,20
2,1
7,1
1,1
425,1
4,9
4,7
3,119
19,8
1,12
1,3
109,10
6,13
8,2
11,1
1,3
3,1
181,1
16,75
52,8
1,5
6,13
5,8
1,281
353,1
9,1
1,6
20,1077
101,52
1,26
400,7
3,2
23,23
15,2
3,1
41,50
861,7
1,1
1169,2
11,5
406,28
7,16
15,23
1,17
1,21
3,5
78,244
6,3
4,771
36,4
1,10
2,7
2,1
2,6
12,2
7,22
18,26
1,1
2,2
7,2
81,3
149,7
6,140
2,1
16,11
10,35
548,1
82,10
1,1
364,3
12,5
6,6
471,22
36,6
1,1
1,3
64,2
1141,90
4,51
4,5
1,269
4,79
1,5
1,1
30,46
5,12
3,65
249,2
1,12
21,203
3,75
2,4
1,1
2,2
2,1
1,68
8,47
64,3
17,175
2,88
1,7
2,2
2,6
3,2
33,1
15,1
1,3
22,200
11,4
9,5
2,2
116,1
1,4
1,3
2,1
1,403
139,18
5,8
518,4
38,3
14,4
1,21
1549,106
2,2
10,129
318,65
255,2
44,1
98,9
1,4
10,1
317,2
1,62
2,35
122,9
1,4
1,7
5,38
8,29
2,49
1,79
7,5
52,1
5,1
34,1
2,8
2,71
16,4
7,2
3,1
2,1
2,6
1,1
2,3
573,9
2,4
68,10
2,1
34,2
7,1605
2,1
2,1
3,14
1,64
8,1
2,140
681,2
10,4
1952,7
9,24
88,2
340,1
1,1
4,1
1,6
6,4
15,1
1,38
4,1
1,2
17,135
1,1
2,4
75,4
16,3
2,1
5,1
6,3
2,203
4,2
10,5
7,16
124,1
191,7
5,171
46,3
1,2
2,5
1,1
5,5
1,4
1,1
2,33
578,45
6,3
1,39
802,9
109,8
26,13
44,3
1,3
3,1
8,3
1,2
2,2
1454,4
1,1
610,8
473,38
152,2
1,26
739,4
1,1
1,2
243,71
1,1
3,5
3,1
468,48
3,1
8,1
799,6
5,1
2,1
42,3
323,4
11,1
16,2
1,1
1,1
1,1
5,2
2,116
3,3
22,772
2,4
1,3
1202,443
3,18
7,4
2,1
7,3
5,6
49,1
5,7
605,1
2,4
1,1
8,1
1,9
6,16
2,2
1,5
2,1
3,12
60,35
1,1
19,4
2,24
145,6
3,91
65,518
7,4
93,1
14,5
29,16
2,2
2,2
690,57
257,1
1,1
85,1
1,1
2,4
3,11
33,38
2,38
17,21
3,9
349,55
31,1
1,8
1,8
22,1
6,621
6,1
2,37
1238,584
29,22
41,1
2,118
2,27
83,1
64,4
1,2
1,81
7,2
3,2
503,1
1,1
1,18
1,8
6,1
4,1
7,6
8,2
14,18
1,9
10,2
47,20
1,2
3,31
6,1
1,47
24,4
1,2
1,4
228,2
2,1
1,1
1455,1
8,176
2,1
4,1
1,7
116,44
1,2
2,49
3,2
944,5
1,4
4,1
144,8
543,1
1238,4
1,8
1,2
1,1
2,154
28,16
2,53
1,2
2,4
480,1
1,4
2,22
1,1
92,5
8,1
21,69
1,175
1,3
84,4
1,14
1082,16
9,5
1,3
4,8
17,66
8,52
2,472
1,657
12,24
1,23
10,9
5,4
1,84
9,7
1,111
2,1
22,175
1,1
7,2
2,2
274,345
3,4
1,5
1,68
3,2
2,5
1,2
6,4
2,18
18,9
43,1
1,47
1,5
1,31
1,33
5,9
